envi;LAT;LON;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;ALT;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;T2M;T2MDEW;T2M_MAX;T2M_MIN;WS2M;bdod_0-5cm_mean_30s;bdod_15-30cm_mean_30s;bdod_30-60cm_mean_30s;bdod_5-15cm_mean_30s;cfvo_0-5cm_mean_30s;cfvo_15-30cm_mean_30s;cfvo_30-60cm_mean_30s;cfvo_5-15cm_mean_30s;clay_15-30cm_mean_30s;clay_30-60cm_mean_30s;clay_5-15cm_mean_30s;nitrogen_0-5cm_mean_30s;nitrogen_15-30cm_mean_30s;nitrogen_30-60cm_mean_30s;nitrogen_5-15cm_mean_30s;ocd_0-5cm_mean_30s;ocd_15-30cm_mean_30s;ocd_30-60cm_mean_30s;ocd_5-15cm_mean_30s;phh2o_0-5cm_mean_30s;phh2o_15-30cm_mean_30s;phh2o_30-60cm_mean_30s;phh2o_5-15cm_mean_30s;sand_0-5cm_mean_30s;sand_15-30cm_mean_30s;sand_30-60cm_mean_30s;sand_5-15cm_mean_30s;SBIO2_Mean_Diurnal_Range_5_15cm;SBIO3_Isothermality_5_15cm;SBIO4_Temperature_Seasonality_5_15cm;silt_0-5cm_mean_30s;silt_15-30cm_mean_30s;silt_30-60cm_mean_30s;silt_5-15cm_mean_30s;soc_0-5cm_mean_30s;soc_15-30cm_mean_30s;soc_30-60cm_mean_30s;soc_5-15cm_mean_30s;soilT_1_5_15cm;soilT_10_5_15cm;soilT_11_5_15cm;soilT_12_5_15cm;soilT_2_5_15cm;soilT_3_5_15cm
E01;-13.983;33.633;20.038;22.733;16.417;916;232;0;115.582;618;3;283;3;12.692;59.031;255.7;29.8;8.3;21.5;21.683;16.417;1141;31.22375;20.93166667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;1;2;3;1;24;31;20;1.299999952;1;0.699999988;1.200000048;2.200000048;1.600000024;1;1.899999976;6;5.900000095;6;5.900000095;70;66;60;70;2.900000095;17.60000038;361.3999939;10;9;9;10;15.69999981;12.30000019;7.699999809;14.60000038;221;256;269;234;220;224
E02;-9.926;33.909;24.542;26.433;22.3;1125;286;1;107.186;646;4;249;8;9.267;61.778;160.494;31.8;16.8;15;25.1;22.95;491;31.07458333;19.98458333;3.44;68.08416667;22.96375;15.96708333;30.36416667;16.58083333;2.54625;1.299999952;1.299999952;1.399999976;1.299999952;1;1;2;1;24;29;21;1.100000024;0.699999988;0.600000024;0.899999976;1.899999976;1.200000048;1;1.399999976;6;6;6;6;71;68;62;70;2.599999905;17.29999924;400;9;9;9;9;12;6.800000191;6.400000095;9.300000191;257;313;316;275;253;257
E03;-10.933;33.683;20.167;22.617;16.933;884;195;1;104.187;532;7;260;7;11.367;57.699;227.809;29.6;9.9;19.7;21.617;16.933;1242;30.72916667;20.38583333;3.437083333;75.565;19.73333333;14.59875;27.9175;13.24791667;2.677083333;1.299999952;1.299999952;1.299999952;1.299999952;4;8;9;5;30;34;25;1.399999976;0.800000012;0.600000024;1.100000024;2.299999952;1.5;0.699999988;1.899999976;5.900000095;5.800000191;5.800000191;5.800000191;65;60;57;65;2.099999905;14.10000038;359.1000061;11;9;9;10;17.29999924;10.10000038;6.699999809;14.10000038;209;244;257;222;199;206
E04;-12.95;33.683;20.546;23.167;17.15;889;220;0;120.656;612;2;249;2;11.725;57.475;241.261;30;9.6;20.4;22;17.15;1095;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;17;20;14;1.100000024;0.800000012;0.5;1.100000024;1.799999952;1.299999952;0.699999988;1.5;6.300000191;6.300000191;6.5;6.300000191;79;76;74;79;1.5;11.39999962;361.5;7;7;7;7;15.30000019;7.400000095;5.900000095;13.10000038;221;272;270;238;209;228
E05;-12.933;33.467;21.042;23.767;17.517;846;207;0;121.264;594;2;250;2;12.383;57.866;250.425;30.8;9.4;21.4;22.55;17.517;1030;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;18;21;13;1.299999952;0.899999976;0.600000024;1.100000024;1.899999976;1.299999952;0.699999988;1.5;6.300000191;6.300000191;6.400000095;6.300000191;80;76;72;80;2;14;353.5;7;6;6;7;16.70000076;7.800000191;5.900000095;13.19999981;226;269;281;245;223;231
E06;-13.417;33.617;20.396;22.983;17;838;224;0;122.886;595;2;235;3;12.175;58.534;239.834;29.8;9;20.8;21.883;18.467;1111;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.5;2;3;6;2;16;21;13;1.399999976;0.800000012;0.699999988;1.200000048;2.099999905;1.299999952;0.800000012;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;78;77;72;79;2.5;16.70000076;374.5;7;7;7;7;18;9.699999809;8.800000191;16.70000076;220;276;272;237;211;220
E07;-15.922;35.073;19.313;21.5;15.917;1193;248;10;95.092;695;44;363;54;10.625;58.702;237.287;27.9;9.8;18.1;21.133;17.233;1173;32.48;20.54208333;3.461666667;63.77541667;24.23125;15.45083333;34.76791667;15.25333333;2.105833333;1.299999952;1.299999952;1.299999952;1.299999952;3;4;6;2;41;49;33;1.299999952;0.800000012;0.600000024;1;2.400000095;1.5;0.800000012;1.799999952;5.400000095;5.300000191;5.300000191;5.400000095;52;45;39;51;3;18.70000076;371.2999878;16;14;12;16;16.5;9.399999619;5.699999809;12.80000019;213;220;241;221;201;198
E08;-12.942;33.466;21.075;23.8;17.567;845;208;0;121.435;595;2;249;2;12.367;57.519;249.95;30.9;9.4;21.5;22.567;17.567;1023;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.399999976;1.5;1.399999976;1.5;1;2;4;1;17;21;13;1.299999952;0.899999976;0.600000024;1.200000048;1.899999976;1.299999952;0.699999988;1.600000024;6.300000191;6.300000191;6.400000095;6.300000191;80;76;72;80;1.899999976;13.39999962;354.2000122;7;7;7;7;16.5;8.800000191;6;13.69999981;226;269;281;245;222;231
E09;-14.264;34.57;23.737;26.4;20.4;941;251;5;119.36;665;19;256;22;11.508;58.123;240.946;33.2;13.4;19.8;25.067;20.583;508;31.76375;20.68041667;2.70875;73.15541667;19.27625;13.44083333;29.25208333;10.69083333;1.563333333;1.399999976;1.399999976;1.5;1.399999976;3;6;6;4;23;26;19;1.200000048;0.800000012;0.699999988;1;1.899999976;1.100000024;0.600000024;1.5;6.199999809;6.099999905;6.199999809;6.099999905;74;69;67;74;1.899999976;14;363;7;7;7;7;13;8.5;5.400000095;11.5;256;290;309;268;253;258
E10;-13.672;32.66;21.154;24;17.983;987;240;0;118.472;677;0;99;5;12.625;57.386;242.379;31.8;9.8;22;21.967;18;1112;32.1625;21.12083333;1.985416667;59.97541667;23.04916667;13.28291667;33.13583333;14.17708333;2.8575;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;24;28;18;1.200000048;0.699999988;0.400000006;0.899999976;2.099999905;1.299999952;0.699999988;1.799999952;6.099999905;6.099999905;6.199999809;6.099999905;68;61;58;66;2.900000095;18.39999962;374.2000122;16;15;14;16;19;7.099999905;5.599999905;14.69999981;225;267;286;245;216;230
E11;-13.251;33.369;20.854;23.483;17.35;786;210;0;125.149;577;2;235;4;12.508;58.178;247.28;30.7;9.2;21.5;22.317;18.9;1064;31.22375;20.93166667;1.990833333;64.05041667;21.82333333;13.34708333;31.87375;12.85708333;2.6375;1.5;1.5;1.5;1.5;2;5;7;2;19;21;20;1.5;1;0.699999988;1.299999952;2.200000048;1.299999952;0.800000012;1.600000024;6.400000095;6.400000095;6.900000095;6.400000095;73;73;71;72;2.200000048;14.5;375.2999878;8;8;8;8;19.20000076;7.800000191;6.599999905;14.10000038;226;281;279;245;216;233
E12;-15.926;35.067;19.342;21.517;15.917;1187;246;10;94.628;690;44;362;55;10.617;58.656;239.249;27.9;9.8;18.1;21.2;17.233;1159;32.48;20.54208333;3.461666667;63.77541667;24.23125;15.45083333;34.76791667;15.25333333;2.105833333;1.299999952;1.299999952;1.299999952;1.299999952;3;4;6;3;40;47;33;1.200000048;0.800000012;0.600000024;1;2.299999952;1.5;0.800000012;1.799999952;5.5;5.400000095;5.400000095;5.400000095;52;46;41;51;3;19.10000038;366;16;14;12;16;15.60000038;8.399999619;5.699999809;11.69999981;213;219;243;222;201;201
E13;-13.407;33.621;20.429;23.017;17.05;836;224;0;123.052;595;2;236;3;12.142;58.655;238.951;29.8;9.1;20.7;21.917;18.517;1108;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.5;1.5;1.5;1.5;1;2;4;1;17;22;14;1.5;0.899999976;0.699999988;1.299999952;2.099999905;1.200000048;0.899999976;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;77;75;70;78;2.200000048;14.5;374.8999939;8;7;7;8;18.10000038;10.39999962;8.600000381;17.29999924;219;275;271;234;215;222
E14;-14.27;34.577;23.729;26.417;20.367;942;251;6;118.892;664;21;256;24;11.458;57.87;242.866;33.2;13.4;19.8;25.067;20.55;506;31.76375;20.68041667;2.70875;73.15541667;19.27625;13.44083333;29.25208333;10.69083333;1.563333333;1.399999976;1.399999976;1.5;1.399999976;3;6;5;3;23;26;19;1.200000048;0.899999976;0.699999988;1;2.099999905;1.100000024;0.699999988;1.700000048;6.099999905;6.099999905;6.099999905;6.099999905;74;70;67;74;1.899999976;13.80000019;365.2000122;7;7;6;7;15;9.199999809;5.699999809;13.10000038;255;289;309;268;253;259
E15;-15.22;35.492;22.6;25.333;18.967;1061;244;15;92.587;633;57;281;88;11.133;56.803;261.09;31.9;12.3;19.6;24.467;19.217;639;32.48;20.54208333;2.977083333;66.23916667;23.77458333;16.02375;32.28458333;15.91333333;2.932916667;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;20;19;17;1.399999976;0.899999976;0.600000024;1;2.5;1.299999952;0.800000012;1.700000048;6.400000095;6.400000095;6.5;6.400000095;67;65;66;67;2.400000095;15;399.6000061;16;15;15;16;14.80000019;9.5;5.400000095;12.89999962;248;269;300;255;243;247
E16;-13.403;33.627;20.329;22.917;16.95;835;224;0;123.634;595;1;236;3;12.092;58.414;238.979;29.7;9;20.7;21.817;18.4;1127;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.5;1.5;1.5;1.5;1;2;4;1;17;21;14;1.5;1;0.699999988;1.299999952;2.200000048;1.299999952;0.800000012;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;77;75;71;78;2.099999905;15;373.2000122;8;8;8;8;17.29999924;9.100000381;8.399999619;16.79999924;218;275;271;233;218;221
E17;-12.938;33.463;21.071;23.8;17.533;846;207;0;121.167;595;2;250;2;12.375;57.558;251.599;30.9;9.4;21.5;22.567;17.533;1022;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.399999976;1.5;1.5;1.5;1;2;4;1;17;21;12;1.299999952;0.800000012;0.600000024;1.100000024;2;1.299999952;0.800000012;1.600000024;6.300000191;6.199999809;6.400000095;6.300000191;80;76;72;81;1.799999952;12.69999981;350.6000061;7;7;6;7;17.29999924;8.699999809;6.599999905;13.89999962;225;269;281;242;222;229
E18;-13.979;33.645;19.992;22.7;16.383;940;237;0;114.662;631;3;299;3;12.667;58.642;255.51;29.8;8.2;21.6;21.617;16.383;1145;31.22375;20.93166667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;1;3;4;1;29;37;26;1.200000048;1;0.800000012;1.200000048;2.400000095;1.799999952;1.200000048;2.200000048;5.900000095;5.900000095;5.900000095;5.900000095;64;60;53;63;2.700000048;16.60000038;357.1000061;12;11;10;12;16.39999962;12.89999962;8.800000191;15.19999981;220;252;266;234;219;223
E19;-13.68;32.734;20.679;23.417;17.433;992;241;0;117.086;675;2;100;2;12.442;57.335;243.679;31.1;9.4;21.7;21.617;17.433;1171;32.1625;21.12083333;1.985416667;59.97541667;23.04916667;13.28291667;33.13583333;14.17708333;2.8575;1.399999976;1.399999976;1.399999976;1.399999976;2;3;4;2;22;27;18;1.100000024;0.800000012;0.5;0.899999976;2;1.399999976;0.800000012;1.799999952;6;6;6;5.900000095;68;64;59;67;3.099999905;18.60000038;384.1000061;15;14;14;15;15.80000019;8;5.400000095;12.19999981;220;261;280;237;209;223
E20;-13.947;33.679;20.117;22.817;16.517;877;226;0;117.817;598;2;263;2;12.517;58.764;254.892;29.7;8.4;21.3;21.75;16.517;1118;31.22375;20.93166667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;17;21;16;1.399999976;1;0.699999988;1.200000048;2.200000048;1.5;0.899999976;1.899999976;6;6;6.099999905;6;77;76;72;77;2.799999952;18.29999924;364.6000061;7;7;7;7;16.79999924;12.39999962;8.899999619;15.5;222;260;273;238;221;224
E21;-14.272;34.559;23.729;26.417;20.383;945;252;5;119.044;666;19;256;22;11.542;57.708;241.806;33.3;13.3;20;25.05;20.567;513;31.76375;20.68041667;2.70875;73.15541667;19.27625;13.44083333;29.25208333;10.69083333;1.563333333;1.399999976;1.399999976;1.5;1.399999976;3;5;5;3;25;26;20;1.200000048;0.899999976;0.699999988;1;1.899999976;1;0.699999988;1.5;6.099999905;6.099999905;6.099999905;6.099999905;73;68;66;73;1.799999952;14;361.2999878;8;8;7;7;13.39999962;8.699999809;5.5;12.19999981;255;288;309;267;252;258
E22;-15.222;35.496;22.6;25.333;18.967;1061;244;15;92.587;633;57;281;88;11.133;56.803;261.09;31.9;12.3;19.6;24.467;19.217;639;32.48;20.54208333;2.977083333;66.23916667;23.77458333;16.02375;32.28458333;15.91333333;2.932916667;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;20;19;17;1.399999976;0.899999976;0.600000024;1;2.5;1.299999952;0.800000012;1.700000048;6.400000095;6.400000095;6.5;6.400000095;67;65;66;67;2.400000095;15;399.6000061;16;15;15;16;14.80000019;9.5;5.400000095;12.89999962;248;269;300;255;243;247
E23;-13.403;33.629;20.329;22.917;16.95;835;224;0;123.634;595;1;236;3;12.092;58.414;238.979;29.7;9;20.7;21.817;18.4;1127;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.5;1.5;1.5;1.5;1;2;4;1;17;21;14;1.5;1;0.699999988;1.299999952;2.200000048;1.299999952;0.800000012;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;77;75;71;78;2.099999905;15;373.2000122;8;8;8;8;17.29999924;9.100000381;8.399999619;16.79999924;218;275;271;233;218;221
E24;-12.936;33.458;21.154;23.9;17.617;846;207;0;120.854;593;2;249;2;12.408;57.446;252.041;31;9.4;21.6;22.667;17.617;1008;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.399999976;1.5;1.399999976;1.399999976;1;2;4;1;18;22;14;1.399999976;0.899999976;0.600000024;1.200000048;2;1.399999976;0.800000012;1.799999952;6.300000191;6.300000191;6.5;6.300000191;79;76;72;79;2;13.5;354.5;7;7;7;7;17.29999924;9.800000191;7;15.19999981;225;272;283;242;224;227
E25;-12.571;33.402;20.158;22.717;16.6;870;214;0;117.802;592;2;254;2;12.333;58.176;246.252;29.8;8.6;21.2;21.733;16.6;1219;30.88375;20.44041667;2.135833333;66.91166667;21.4375;13.91916667;30.91625;13.70666667;3.04875;1.399999976;1.5;1.5;1.5;1;2;3;1;21;21;19;1.100000024;0.800000012;0.5;1;1.700000048;1.200000048;0.600000024;1.5;6.199999809;6.199999809;6.400000095;6.199999809;73;71;70;73;2.299999952;16.29999924;349.8999939;8;8;8;8;12.80000019;6.800000191;4.800000191;10.5;215;253;266;236;202;221
E26;-13.406;33.984;18.45;20.8;15.25;935;250;1;120.115;636;5;244;6;10.533;56.937;223.698;27.1;8.6;18.5;19.917;16.567;1415;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.299999952;1.399999976;1.299999952;1.299999952;6;8;12;6;20;23;17;1.600000024;1.200000048;0.899999976;1.600000024;2.599999905;1.799999952;0.899999976;2.599999905;6;5.900000095;6;6;71;69;66;72;1.899999976;14.69999981;354.6000061;11;11;11;11;20.39999962;11.69999981;8.5;20;193;233;235;199;188;190
E27;-12.952;33.703;20.388;22.967;17.033;892;223;0;120.815;615;2;250;2;11.592;57.384;237.498;29.8;9.6;20.2;21.833;17.033;1124;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;19;21;15;1.200000048;0.800000012;0.5;1.100000024;1.799999952;1.299999952;0.600000024;1.399999976;6.300000191;6.300000191;6.400000095;6.300000191;77;74;72;77;1.600000024;11.69999981;361.3999939;7;7;7;7;14.69999981;7.400000095;5.599999905;12.19999981;219;268;267;238;206;229
E28;-16.254;34.895;25.504;28.383;21.333;740;154;15;89.804;435;49;213;53;11.725;56.643;295.761;34.9;14.2;20.7;27.783;22.9;71;34.0625;20.70916667;2.595416667;59.255;26.77916667;16.41;38.20166667;17.38;2.367083333;1.399999976;1.399999976;1.399999976;1.399999976;3;3;3;3;30;33;30;1.5;1.100000024;0.699999988;1.299999952;2.299999952;1.600000024;1;2.200000048;6.300000191;6.400000095;6.400000095;6.300000191;54;52;50;52;2.5;15.19999981;449.7999878;18;18;17;17;18.79999924;12.39999962;6.599999905;13;289;299;331;294;283;283
E29;-13.41;33.612;20.471;23.05;17.1;831;222;0;123.025;592;2;235;3;12.158;58.454;238.827;29.9;9.1;20.8;21.95;18.55;1103;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.399999976;1;3;5;1;16;21;14;1.399999976;0.899999976;0.699999988;1.200000048;2.099999905;1.200000048;0.800000012;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;78;77;72;79;2.299999952;15.60000038;370.2000122;7;7;7;7;18.89999962;10.10000038;8.800000191;16.70000076;221;272;270;236;210;220
E30;-13.407;33.62;20.429;23.017;17.05;836;224;0;123.052;595;2;236;3;12.142;58.655;238.951;29.8;9.1;20.7;21.917;18.517;1108;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.5;1.5;1.5;1.5;1;2;4;1;17;22;14;1.5;0.899999976;0.699999988;1.299999952;2.099999905;1.200000048;0.899999976;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;77;75;70;78;2.200000048;14.5;374.8999939;8;7;7;8;18.10000038;10.39999962;8.600000381;17.29999924;219;275;271;234;215;222
E31;-12.952;33.703;20.388;22.967;17.033;892;223;0;120.815;615;2;250;2;11.592;57.384;237.498;29.8;9.6;20.2;21.833;17.033;1124;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;19;21;15;1.200000048;0.800000012;0.5;1.100000024;1.799999952;1.299999952;0.600000024;1.399999976;6.300000191;6.300000191;6.400000095;6.300000191;77;74;72;77;1.600000024;11.69999981;361.3999939;7;7;7;7;14.69999981;7.400000095;5.599999905;12.19999981;219;268;267;238;206;229
E32;-16.254;34.895;25.504;28.383;21.333;740;154;15;89.804;435;49;213;53;11.725;56.643;295.761;34.9;14.2;20.7;27.783;22.9;71;34.0625;20.70916667;2.595416667;59.255;26.77916667;16.41;38.20166667;17.38;2.367083333;1.399999976;1.399999976;1.399999976;1.399999976;3;3;3;3;30;33;30;1.5;1.100000024;0.699999988;1.299999952;2.299999952;1.600000024;1;2.200000048;6.300000191;6.400000095;6.400000095;6.300000191;54;52;50;52;2.5;15.19999981;449.7999878;18;18;17;17;18.79999924;12.39999962;6.599999905;13;289;299;331;294;283;283
